Comprimento	Intensity
364.01	1546.22
364.22	1603.56
364.43	1505.26
364.64	1460.20
364.85	1447.91
365.06	1523.69
365.27	1509.35
365.48	1505.26
365.69	1523.69
365.89	1445.87
366.10	1505.26
366.31	1501.16
366.52	1562.60
366.73	1587.18
366.94	1652.71
367.15	1472.49
367.36	1546.22
367.57	1636.33
367.77	1587.18
367.98	1562.60
368.19	1513.45
368.40	1509.35
368.61	1521.64
368.82	1488.87
369.03	1542.12
369.23	1662.95
369.44	1456.11
369.65	1431.53
369.86	1464.30
370.07	1480.68
370.28	1529.83
370.49	1533.93
370.70	1546.22
370.90	1476.59
371.11	1472.49
371.32	1466.35
371.53	1572.84
371.74	1497.07
371.95	1513.45
372.16	1488.87
372.36	1513.45
372.57	1521.64
372.78	1468.39
372.99	1452.01
373.20	1423.34
373.41	1419.24
373.61	1497.07
373.82	1540.07
374.03	1497.07
374.24	1515.50
374.45	1554.41
374.66	1480.68
374.86	1605.61
375.07	1583.08
375.28	1638.38
375.49	1488.87
375.70	1505.26
375.91	1574.89
376.11	1564.65
376.32	1525.74
376.53	1505.26
376.74	1523.69
376.95	1957.86
377.16	1540.07
377.36	1490.92
377.57	1499.11
377.78	1507.30
377.99	1542.12
378.20	1538.02
378.40	1578.98
378.61	1611.75
378.82	1476.59
379.03	1554.41
379.24	1613.80
379.45	1427.43
379.65	1449.96
379.86	1464.30
380.07	1466.35
380.28	1529.83
380.49	1562.60
380.69	1595.37
380.90	1644.52
381.11	1505.26
381.32	1488.87
381.53	1617.90
381.73	1523.69
381.94	1546.22
382.15	1439.72
382.36	1464.30
382.57	1574.89
382.77	1474.54
382.98	1456.11
383.19	1497.07
383.40	1587.18
383.60	1581.03
383.81	1564.65
384.02	1574.89
384.23	1501.16
384.44	1441.77
384.64	1540.07
384.85	1595.37
385.06	1521.64
385.27	1507.30
385.48	1488.87
385.68	1466.35
385.89	1492.97
386.10	1521.64
386.31	1476.59
386.51	1572.84
386.72	1546.22
386.93	1521.64
387.14	1583.08
387.34	1499.11
387.55	1499.11
387.76	1578.98
387.97	1509.35
388.17	1548.26
388.38	1521.64
388.59	1497.07
388.80	1558.50
389.01	1615.85
389.21	1578.98
389.42	1574.89
389.63	1521.64
389.84	1515.50
390.04	1624.04
390.25	1531.88
390.46	1521.64
390.67	1417.19
390.87	1529.83
391.08	1546.22
391.29	1472.49
391.49	1456.11
391.70	1447.91
391.91	1513.45
392.12	1423.34
392.32	1501.16
392.53	1447.91
392.74	1490.92
392.95	1484.78
393.15	1529.83
393.36	1562.60
393.57	1505.26
393.78	1591.27
393.98	1538.02
394.19	1521.64
394.40	1558.50
394.60	1529.83
394.81	1505.26
395.02	1345.52
395.23	1497.07
395.43	1484.78
395.64	1492.97
395.85	1419.24
396.06	1474.54
396.26	1517.54
396.47	1538.02
396.68	1513.45
396.88	1632.23
397.09	1673.19
397.30	1712.10
397.50	1765.35
397.71	1669.09
397.92	1718.25
398.13	1695.72
398.33	1476.59
398.54	1562.60
398.75	1497.07
398.95	1619.94
399.16	1538.02
399.37	1425.39
399.57	1523.69
399.78	1587.18
399.99	1406.95
400.20	1669.09
400.40	1546.22
400.61	1499.11
400.82	1425.39
401.02	1488.87
401.23	1564.65
401.44	1488.87
401.64	1492.97
401.85	1538.02
402.06	1525.74
402.26	1562.60
402.47	1505.26
402.68	1660.90
402.88	1480.68
403.09	1595.37
403.30	1423.34
403.50	1415.15
403.71	1628.14
403.92	1447.91
404.12	1472.49
404.33	1540.07
404.54	1521.64
404.74	1562.60
404.95	1538.02
405.16	1521.64
405.36	1521.64
405.57	1505.26
405.78	1513.45
405.98	1417.19
406.19	1486.83
406.40	1542.12
406.60	1570.79
406.81	1439.72
407.02	1515.50
407.22	1499.11
407.43	1417.19
407.64	1480.68
407.84	1423.34
408.05	1521.64
408.26	1419.24
408.46	1572.84
408.67	1593.32
408.87	1476.59
409.08	1505.26
409.29	1564.65
409.49	1521.64
409.70	1714.15
409.91	1849.32
410.11	2013.15
410.32	2267.10
410.53	2209.76
410.73	2316.25
410.94	2220.00
411.14	2105.31
411.35	1984.48
411.56	1890.28
411.76	1820.64
411.97	1677.29
412.18	1578.98
412.38	1441.77
412.59	1523.69
412.79	1406.95
413.00	1507.30
413.21	1513.45
413.41	1466.35
413.62	1423.34
413.82	1499.11
414.03	1566.70
414.24	1554.41
414.44	1419.24
414.65	1554.41
414.86	1484.78
415.06	1578.98
415.27	1566.70
415.47	1515.50
415.68	1480.68
415.89	1472.49
416.09	1509.35
416.30	1480.68
416.50	1495.02
416.71	1621.99
416.92	1400.81
417.12	1490.92
417.33	1492.97
417.53	1439.72
417.74	1482.73
417.94	1538.02
418.15	1566.70
418.36	1538.02
418.56	1562.60
418.77	1474.54
418.97	1570.79
419.18	1531.88
419.39	1447.91
419.59	1538.02
419.80	1492.97
420.00	1439.72
420.21	1464.30
420.41	1497.07
420.62	1581.03
420.83	1521.64
421.03	1572.84
421.24	1583.08
421.44	1447.91
421.65	1531.88
421.85	1554.41
422.06	1439.72
422.27	1472.49
422.47	1482.73
422.68	1460.20
422.88	1591.27
423.09	1441.77
423.29	1607.66
423.50	1548.26
423.70	1505.26
423.91	1533.93
424.12	1466.35
424.32	1474.54
424.53	1472.49
424.73	1562.60
424.94	1464.30
425.14	1525.74
425.35	1564.65
425.55	1521.64
425.76	1513.45
425.96	1529.83
426.17	1456.11
426.37	1497.07
426.58	1515.50
426.79	1558.50
426.99	1562.60
427.20	1554.41
427.40	1540.07
427.61	1456.11
427.81	1456.11
428.02	1538.02
428.22	1406.95
428.43	1533.93
428.63	1456.11
428.84	1509.35
429.04	1441.77
429.25	1538.02
429.45	1556.46
429.66	1533.93
429.86	1462.25
430.07	1542.12
430.27	1427.43
430.48	1648.61
430.68	1497.07
430.89	1540.07
431.09	1531.88
431.30	1402.86
431.50	1538.02
431.71	1615.85
431.91	1439.72
432.12	1558.50
432.32	1595.37
432.53	1546.22
432.73	1525.74
432.94	1564.65
433.14	1619.94
433.35	1652.71
433.55	2050.02
433.76	2897.88
433.96	4159.42
434.17	4925.36
434.37	5445.55
434.58	5322.67
434.78	5179.31
434.99	4511.68
435.19	3782.60
435.40	3295.18
435.60	2873.30
435.81	2539.48
436.01	2064.35
436.22	1925.09
436.42	1646.57
436.63	1587.18
436.83	1562.60
437.04	1554.41
437.24	1507.30
437.45	1499.11
437.65	1490.92
437.86	1505.26
438.06	1540.07
438.26	1578.98
438.47	1441.77
438.67	1490.92
438.88	1523.69
439.08	1474.54
439.29	1554.41
439.49	1513.45
439.70	1587.18
439.90	1490.92
440.11	1513.45
440.31	1603.56
440.52	1546.22
440.72	1523.69
440.92	1472.49
441.13	1484.78
441.33	1566.70
441.54	1578.98
441.74	1447.91
441.95	1505.26
442.15	1665.00
442.36	1591.27
442.56	1480.68
442.76	1521.64
442.97	1415.15
443.17	1488.87
443.38	1513.45
443.58	1497.07
443.79	1456.11
443.99	1468.39
444.19	1570.79
444.40	1431.53
444.60	1492.97
444.81	1423.34
445.01	1482.73
445.22	1470.44
445.42	1447.91
445.62	1525.74
445.83	1523.69
446.03	1636.33
446.24	1554.41
446.44	1540.07
446.64	1548.26
446.85	1415.15
447.05	1523.69
447.26	1447.91
447.46	1472.49
447.67	1441.77
447.87	1447.91
448.07	1564.65
448.28	1454.06
448.48	1521.64
448.69	1480.68
448.89	1488.87
449.09	1523.69
449.30	1466.35
449.50	1466.35
449.71	1449.96
449.91	1538.02
450.11	1456.11
450.32	1439.72
450.52	1427.43
450.72	1458.15
450.93	1554.41
451.13	1515.50
451.34	1538.02
451.54	1466.35
451.74	1460.20
451.95	1505.26
452.15	1472.49
452.36	1488.87
452.56	1540.07
452.76	1497.07
452.97	1415.15
453.17	1538.02
453.37	1458.15
453.58	1499.11
453.78	1423.34
453.98	1538.02
454.19	1513.45
454.39	1415.15
454.60	1464.30
454.80	1540.07
455.00	1515.50
455.21	1413.10
455.41	1548.26
455.61	1507.30
455.82	1482.73
456.02	1447.91
456.22	1546.22
456.43	1427.43
456.63	1531.88
456.84	1488.87
457.04	1521.64
457.24	1492.97
457.45	1497.07
457.65	1570.79
457.85	1415.15
458.06	1466.35
458.26	1468.39
458.46	1513.45
458.67	1466.35
458.87	1619.94
459.07	1613.80
459.28	1578.98
459.48	1513.45
459.68	1456.11
459.89	1411.05
460.09	1482.73
460.29	1581.03
460.50	1366.00
460.70	1468.39
460.90	1562.60
461.11	1456.11
461.31	1501.16
461.51	1538.02
461.72	1492.97
461.92	1538.02
462.12	1603.56
462.32	1581.03
462.53	1462.25
462.73	1966.05
462.93	1431.53
